"","week","season","Team","Opponent","home_or_away","id","Team_conference","Team_division","Opponent_conference","Opponent_division","Team_points","Opponent_points","Bovada_over_under","DraftKings_over_under","William Hill (New Jersey)_over_under","ESPN Bet_over_under","Team_Last_Week_time_of_poss_total","Team_Last_Week_pass_comps","Team_Last_Week_pass_atts","Team_Last_Week_net_pass_yds","Team_Last_Week_pass_TDs","Team_Last_Week_interceptions","Team_Last_Week_rush_atts","Team_Last_Week_rush_yds","Team_Last_Week_rush_TDs","Team_Last_Week_total_yds","Team_Last_Week_fumbles_lost","Team_Last_Week_turnovers","Team_Last_Week_first_downs","Team_Last_Week_third_downs","Team_Last_Week_third_down_convs","Team_Last_Week_fourth_down_convs","Team_Last_Week_fourth_downs","Team_Last_Week_penalties","Team_Last_Week_penalty_yds","Team_szn_Average_time_of_poss_total","Team_szn_Average_pass_comps","Team_szn_Average_pass_atts","Team_szn_Average_net_pass_yds","Team_szn_Average_pass_TDs","Team_szn_Average_interceptions","Team_szn_Average_rush_atts","Team_szn_Average_rush_yds","Team_szn_Average_rush_TDs","Team_szn_Average_total_yds","Team_szn_Average_fumbles_lost","Team_szn_Average_turnovers","Team_szn_Average_first_downs","Team_szn_Average_third_downs","Team_szn_Average_third_down_convs","Team_szn_Average_fourth_down_convs","Team_szn_Average_fourth_downs","Team_szn_Average_penalties","Team_szn_Average_penalty_yds","Bovada_Bias","DraftKings_Bias","William_Hill_Bias","ESPN_Bias","Avergae_Bias","Team_Last_Week_Points","Team_Last_Week_Bias"
"397",12,2023,"Georgia","Tennessee","Away",401520419,"SEC","fbs","SEC","fbs",38,10,"59.0","58.5",NA,"59.5",1857,19,26,311,2,1,35,300,5,611,0,1,25,8,5,0,0,5,55,2003.7,24.9,34.7,323.9,2,0.6,34.4,180.8,2.8,504.7,0.4,1,25.7,12.3,6.7,0.6,0.7,4.4,41.5,-11,-10.5,NA,-11.5,-11,52,10.25
"398",13,2023,"Georgia","Georgia Tech","Away",401520430,"SEC","fbs","ACC","fbs",31,23,"59.5",NA,NA,"59.5",2458,25,31,316,4,0,40,156,1,472,1,1,27,13,9,0,1,2,15,2045,24.9090909090909,34.3636363636364,323.181818181818,2.18181818181818,0.545454545454545,34.9090909090909,178.545454545455,2.63636363636364,501.727272727273,0.454545454545455,1,25.8181818181818,12.3636363636364,6.90909090909091,0.545454545454545,0.727272727272727,4.18181818181818,39.0909090909091,-5.5,NA,NA,-5.5,-5.5,38,-11
"399",14,2023,"Georgia","Alabama","Away",401539483,"SEC","fbs","SEC","fbs",24,27,"53.5","56",NA,"52.5",1755,13,20,175,1,1,39,262,3,437,1,2,24,8,4,0,0,6,60,2020.83333333333,23.9166666666667,33.1666666666667,310.833333333333,2.08333333333333,0.583333333333333,35.25,185.5,2.66666666666667,496.333333333333,0.5,1.08333333333333,25.6666666666667,12,6.66666666666667,0.5,0.666666666666667,4.33333333333333,40.8333333333333,-2.5,-5,NA,-1.5,-3,31,-5.5
"400",2,2023,"Georgia Southern","UAB","Home",401531378,"Sun Belt","fbs","American Athletic","fbs",49,35,"63.5","63","63",NA,1899,31,40,273,2,1,34,200,2,473,1,2,29,7,2,1,1,9,95,1899,31,40,273,2,1,34,200,2,473,1,2,29,7,2,1,1,9,95,20.5,21,21,NA,20.8333333333333,NA,NA
"401",3,2023,"Georgia Southern","Wisconsin","Away",401520249,"Sun Belt","fbs","Big Ten","fbs",14,35,"65.5",NA,"65.5",NA,1960,39,48,344,3,1,25,118,3,462,1,2,26,13,10,0,0,6,55,1929.5,35,44,308.5,2.5,1,29.5,159,2.5,467.5,1,2,27.5,10,6,0.5,0.5,7.5,75,-16.5,NA,-16.5,NA,-16.5,49,20.8333333333333
"402",4,2023,"Georgia Southern","Ball State","Away",401531871,"Sun Belt","fbs","Mid-American","fbs",40,3,"61.5","61","60",NA,1883,33,52,383,1,5,28,72,1,455,1,6,23,17,9,0,1,5,40,1914,34.3333333333333,46.6666666666667,333.333333333333,2,2.33333333333333,29,130,2,463.333333333333,1,3.33333333333333,26,12.3333333333333,7,0.333333333333333,0.666666666666667,6.66666666666667,63.3333333333333,-18.5,-18,-17,NA,-17.8333333333333,14,-16.5
"403",5,2023,"Georgia Southern","Coastal Carolina","Home",401531878,"Sun Belt","fbs","Sun Belt","fbs",38,28,"62.0","64.5","67.5",NA,1841,36,50,363,4,0,27,167,0,530,0,0,25,14,4,2,2,5,35,1895.75,34.75,47.5,340.75,2.5,1.75,28.5,139.25,1.5,480,0.75,2.5,25.75,12.75,6.25,0.75,1,6.25,56.25,4,1.5,-1.5,NA,1.33333333333333,40,-17.8333333333333
"404",7,2023,"Georgia Southern","James Madison","Away",401531890,"Sun Belt","fbs","Sun Belt","fbs",13,41,"59.5","59.5","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1906.6,34.6,49.2,337,2.6,1.4,27.6,134.6,1.4,471.6,0.6,2,26,13.6,6.6,0.8,1,7,63,-5.5,-5.5,-6,NA,-5.66666666666667,38,1.33333333333333
"405",8,2023,"Georgia Southern","UL Monroe","Home",401531894,"Sun Belt","fbs","Sun Belt","fbs",38,28,"61.0","60","60.5",NA,2069,35,59,304,0,3,29,64,1,368,0,3,25,21,12,2,2,3,30,1933.66666666667,34.6666666666667,50.8333333333333,331.5,2.16666666666667,1.66666666666667,27.8333333333333,122.833333333333,1.33333333333333,454.333333333333,0.5,2.16666666666667,25.8333333333333,14.8333333333333,7.5,1,1.16666666666667,6.33333333333333,57.5,5,6,5.5,NA,5.5,13,-5.66666666666667
"406",9,2023,"Georgia Southern","Georgia State","Home",401531929,"Sun Belt","fbs","Sun Belt","fbs",44,27,"63.5","63","63",NA,1890,21,37,242,2,2,41,175,2,417,2,4,24,14,7,0,0,3,30,1927.42857142857,32.7142857142857,48.8571428571429,318.714285714286,2.14285714285714,1.71428571428571,29.7142857142857,130.285714285714,1.42857142857143,449,0.714285714285714,2.42857142857143,25.5714285714286,14.7142857142857,7.42857142857143,0.857142857142857,1,5.85714285714286,53.5714285714286,7.5,8,8,NA,7.83333333333333,38,5.5
"407",10,2023,"Georgia Southern","Texas State","Away",401531910,"Sun Belt","fbs","Sun Belt","fbs",24,45,"68.5","69",NA,NA,2004,22,36,334,3,1,38,118,1,452,1,2,24,15,6,2,2,1,5,1937,31.375,47.25,320.625,2.25,1.625,30.75,128.75,1.375,449.375,0.75,2.375,25.375,14.75,7.25,1,1.125,5.25,47.5,0.5,0,NA,NA,0.25,44,7.83333333333333
"408",11,2023,"Georgia Southern","Marshall","Away",401531914,"Sun Belt","fbs","Sun Belt","fbs",33,38,"56.5",NA,NA,"56.5",1504,18,27,195,1,1,28,180,2,375,1,2,21,10,4,0,2,7,58,1888.88888888889,29.8888888888889,45,306.666666666667,2.11111111111111,1.55555555555556,30.4444444444444,134.444444444444,1.44444444444444,441.111111111111,0.777777777777778,2.33333333333333,24.8888888888889,14.2222222222222,6.88888888888889,0.888888888888889,1.22222222222222,5.44444444444444,48.6666666666667,14.5,NA,NA,14.5,14.5,24,0.25
"409",12,2023,"Georgia Southern","Old Dominion","Home",401531917,"Sun Belt","fbs","Sun Belt","fbs",17,20,"62.5","60.5",NA,"61.5",1962,29,56,307,3,0,24,77,0,384,0,0,18,19,5,2,3,7,45,1896.2,29.8,46.1,306.7,2.2,1.4,29.8,128.7,1.3,435.4,0.7,2.1,24.2,14.7,6.7,1,1.4,5.6,48.3,-25.5,-23.5,NA,-24.5,-24.5,33,14.5
"410",13,2023,"Georgia Southern","App State","Away",401531922,"Sun Belt","fbs","Sun Belt","fbs",27,55,"63.5",NA,NA,"62.5",1855,20,35,235,1,0,34,119,1,354,1,1,22,15,7,1,3,5,50,1892.45454545455,28.9090909090909,45.0909090909091,300.181818181818,2.09090909090909,1.27272727272727,30.1818181818182,127.818181818182,1.27272727272727,428,0.727272727272727,2,24,14.7272727272727,6.72727272727273,1,1.54545454545455,5.54545454545455,48.4545454545455,18.5,NA,NA,19.5,19,17,-24.5
"411",2,2023,"Georgia State","UConn","Home",401520192,"Sun Belt","fbs","FBS Independents","fbs",35,14,"54.5","54","54.5",NA,1421,16,20,193,2,0,38,231,3,424,0,0,20,12,6,1,1,5,65,1421,16,20,193,2,0,38,231,3,424,0,0,20,12,6,1,1,5,65,-5.5,-5,-5.5,NA,-5.33333333333333,NA,NA
"412",3,2023,"Georgia State","Charlotte","Away",401531403,"Sun Belt","fbs","American Athletic","fbs",41,25,"52.0",NA,"52",NA,1648,15,26,144,1,0,45,250,4,394,1,1,18,17,8,1,2,2,23,1534.5,15.5,23,168.5,1.5,0,41.5,240.5,3.5,409,0.5,0.5,19,14.5,7,1,1.5,3.5,44,14,NA,14,NA,14,35,-5.33333333333333
"413",4,2023,"Georgia State","Coastal Carolina","Away",401531849,"Sun Belt","fbs","Sun Belt","fbs",30,17,"63.0","62.5","62.5",NA,1892,27,33,466,3,0,39,102,2,568,0,0,23,15,9,0,0,11,80,1653.66666666667,19.3333333333333,26.3333333333333,267.666666666667,2,0,40.6666666666667,194.333333333333,3,462,0.333333333333333,0.333333333333333,20.3333333333333,14.6666666666667,7.66666666666667,0.666666666666667,1,6,56,-16,-15.5,-15.5,NA,-15.6666666666667,41,14
"414",5,2023,"Georgia State","Troy","Home",401531879,"Sun Belt","fbs","Sun Belt","fbs",7,28,"51.5","51","50.5",NA,1696,15,27,191,1,0,43,182,2,373,1,1,24,14,8,0,1,9,66,1664.25,18.25,26.5,248.5,1.75,0,41.25,191.25,2.75,439.75,0.5,0.5,21.25,14.5,7.75,0.5,1,6.75,58.5,-16.5,-16,-15.5,NA,-16,30,-15.6666666666667
"415",7,2023,"Georgia State","Marshall","Home",401531889,"Sun Belt","fbs","Sun Belt","fbs",41,24,"54.5","53","53.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1633.8,18.4,27,237.4,1.4,0.4,39.2,174,2.4,411.4,0.6,1,20.2,14.2,7.2,0.8,1.4,6.4,54,10.5,12,11.5,NA,11.3333333333333,7,-16
"416",8,2023,"Georgia State","Louisiana","Away",401531897,"Sun Belt","fbs","Sun Belt","fbs",20,17,"62.0","62","62",NA,2117,21,31,234,1,0,42,240,3,474,0,0,25,15,7,0,1,8,80,1714.33333333333,18.8333333333333,27.6666666666667,236.833333333333,1.33333333333333,0.333333333333333,39.6666666666667,185,2.5,421.833333333333,0.5,0.833333333333333,21,14.3333333333333,7.16666666666667,0.666666666666667,1.33333333333333,6.66666666666667,58.3333333333333,-25,-25,-25,NA,-25,41,11.3333333333333
"417",9,2023,"Georgia State","Georgia Southern","Away",401531929,"Sun Belt","fbs","Sun Belt","fbs",27,44,"63.5","63","63",NA,1668,18,23,214,2,0,39,129,1,343,2,2,16,15,9,0,0,4,26,1707.71428571429,18.7142857142857,27,233.571428571429,1.42857142857143,0.285714285714286,39.5714285714286,177,2.28571428571429,410.571428571429,0.714285714285714,1,20.2857142857143,14.4285714285714,7.42857142857143,0.571428571428571,1.14285714285714,6.28571428571429,53.7142857142857,7.5,8,8,NA,7.83333333333333,20,-25
"418",10,2023,"Georgia State","James Madison","Home",401531906,"Sun Belt","fbs","Sun Belt","fbs",14,42,"53.0","53",NA,"52.5",1596,21,37,157,2,2,40,290,2,447,1,3,26,12,5,1,2,5,54,1693.75,19,28.25,224,1.5,0.5,39.625,191.125,2.25,415.125,0.75,1.25,21,14.125,7.125,0.625,1.25,6.125,53.75,3,3,NA,3.5,3.16666666666667,27,7.83333333333333
"419",11,2023,"Georgia State","App State","Home",401531913,"Sun Belt","fbs","Sun Belt","fbs",14,42,"62.5",NA,NA,"62.5",1054,10,19,82,0,0,29,146,2,228,0,0,11,12,3,1,2,2,20,1622.66666666667,18,27.2222222222222,208.222222222222,1.33333333333333,0.444444444444444,38.4444444444444,186.111111111111,2.22222222222222,394.333333333333,0.666666666666667,1.11111111111111,19.8888888888889,13.8888888888889,6.66666666666667,0.666666666666667,1.33333333333333,5.66666666666667,50,-6.5,NA,NA,-6.5,-6.5,14,3.16666666666667
"420",12,2023,"Georgia State","LSU","Away",401520409,"Sun Belt","fbs","SEC","fbs",14,56,"75.0","71.5",NA,"73.5",1975,16,31,121,2,1,47,139,0,260,1,2,17,19,7,1,2,6,69,1657.9,17.8,27.6,199.5,1.4,0.5,39.3,181.4,2,380.9,0.7,1.2,19.6,14.4,6.7,0.7,1.4,5.7,51.9,-5,-1.5,NA,-3.5,-3.33333333333333,14,-6.5
"421",13,2023,"Georgia State","Old Dominion","Away",401531925,"Sun Belt","fbs","Sun Belt","fbs",24,25,"50.5",NA,NA,"49.5",2121,26,33,217,1,0,31,148,1,365,0,0,17,12,5,1,4,7,50,1700,18.5454545454545,28.0909090909091,201.090909090909,1.36363636363636,0.454545454545455,38.5454545454545,178.363636363636,1.90909090909091,379.454545454545,0.636363636363636,1.09090909090909,19.3636363636364,14.1818181818182,6.54545454545455,0.727272727272727,1.63636363636364,5.81818181818182,51.7272727272727,-1.5,NA,NA,-0.5,-1,14,-3.33333333333333
"422",2,2023,"Georgia Tech","South Carolina State","Home",401525494,"ACC","fbs","MEAC","fcs",48,13,"52.5","53.5","53.5",NA,1806,19,32,313,3,1,38,175,2,488,1,2,23,13,6,0,1,2,20,1806,19,32,313,3,1,38,175,2,488,1,2,23,13,6,0,1,2,20,8.5,7.5,7.5,NA,7.83333333333333,NA,NA
"423",3,2023,"Georgia Tech","Ole Miss","Away",401520241,"ACC","fbs","SEC","fbs",23,48,"61.5",NA,"61.5",NA,1707,24,34,310,4,1,33,268,2,578,1,2,28,10,6,1,1,3,45,1756.5,21.5,33,311.5,3.5,1,35.5,221.5,2,533,1,2,25.5,11.5,6,0.5,1,2.5,32.5,9.5,NA,9.5,NA,9.5,48,7.83333333333333
"424",4,2023,"Georgia Tech","Wake Forest","Away",401525508,"ACC","fbs","ACC","fbs",30,16,"58.5","58.5","58.5",NA,2357,28,42,307,2,0,47,167,1,474,0,0,26,20,11,2,5,0,0,1956.66666666667,23.6666666666667,36,310,3,0.666666666666667,39.3333333333333,203.333333333333,1.66666666666667,513.333333333333,0.666666666666667,1.33333333333333,25.6666666666667,14.3333333333333,7.66666666666667,1,2.33333333333333,1.66666666666667,21.6666666666667,-12.5,-12.5,-12.5,NA,-12.5,23,9.5
"425",5,2023,"Georgia Tech","Bowling Green","Home",401525515,"ACC","fbs","Mid-American","fbs",27,38,"52.5","51.5","49.5",NA,1681,16,27,222,2,1,32,158,1,380,0,1,13,15,7,0,1,14,142,1887.75,21.75,33.75,288,2.75,0.75,37.5,192,1.5,480,0.5,1.25,22.5,14.5,7.5,0.75,2,4.75,51.75,12.5,13.5,15.5,NA,13.8333333333333,30,-12.5
"426",6,2023,"Georgia Tech","Miami","Away",401525519,"ACC","fbs","ACC","fbs",23,20,"57.0","57.5","57",NA,1035,23,37,348,4,2,21,69,0,417,1,3,27,8,2,1,3,6,46,1717.2,22,34.4,300,3,1,34.2,167.4,1.2,467.4,0.6,1.6,23.4,13.2,6.4,0.8,2.2,5,50.6,-14,-14.5,-14,NA,-14.1666666666667,27,13.8333333333333
"427",8,2023,"Georgia Tech","Boston College","Home",401525528,"ACC","fbs","ACC","fbs",23,38,"57.0","57","57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1676.66666666667,20.3333333333333,33,275.166666666667,2.66666666666667,1.16666666666667,33,156,1.33333333333333,431.166666666667,0.5,1.66666666666667,21.6666666666667,13.1666666666667,6.16666666666667,0.666666666666667,1.83333333333333,6,53.3333333333333,4,4,4,NA,4,23,-14.1666666666667
"428",9,2023,"Georgia Tech","North Carolina","Home",401525537,"ACC","fbs","ACC","fbs",46,42,"65.0","64","65.5",NA,1572,14,32,204,1,3,35,248,2,452,0,3,23,11,3,1,1,5,35,1661.71428571429,19.4285714285714,32.8571428571429,265,2.42857142857143,1.42857142857143,33.2857142857143,169.142857142857,1.42857142857143,434.142857142857,0.428571428571429,1.85714285714286,21.8571428571429,12.8571428571429,5.71428571428571,0.714285714285714,1.71428571428571,5.85714285714286,50.7142857142857,23,24,22.5,NA,23.1666666666667,23,4
"429",10,2023,"Georgia Tech","Virginia","Away",401525542,"ACC","fbs","ACC","fbs",45,17,"56.0","57.5",NA,"55.5",1676,23,30,287,4,1,48,348,2,635,0,1,29,13,8,1,3,3,19,1663.5,19.875,32.5,267.75,2.625,1.375,35.125,191.5,1.5,459.25,0.375,1.75,22.75,12.875,6,0.75,1.875,5.5,46.75,6,4.5,NA,6.5,5.66666666666667,46,23.1666666666667
"430",11,2023,"Georgia Tech","Clemson","Away",401525548,"ACC","fbs","ACC","fbs",21,42,"53.5","55",NA,"55.5",2049,24,33,209,1,0,44,305,5,514,0,0,28,15,8,1,1,8,85,1706.33333333333,20.3333333333333,32.5555555555556,261.222222222222,2.44444444444444,1.22222222222222,36.1111111111111,204.111111111111,1.88888888888889,465.333333333333,0.333333333333333,1.55555555555556,23.3333333333333,13.1111111111111,6.22222222222222,0.777777777777778,1.77777777777778,5.77777777777778,51,9.5,8,NA,7.5,8.33333333333333,45,5.66666666666667
"431",12,2023,"Georgia Tech","Syracuse","Home",401525557,"ACC","fbs","ACC","fbs",31,22,"51.5","53",NA,"51.5",1388,14,32,137,2,4,33,117,1,254,0,4,13,16,6,2,3,4,38,1674.5,19.7,32.5,248.8,2.4,1.5,35.8,195.4,1.8,444.2,0.3,1.8,22.3,13.4,6.2,0.9,1.9,5.6,49.7,1.5,0,NA,1.5,1,21,8.33333333333333
"432",13,2023,"Georgia Tech","Georgia","Home",401520430,"ACC","fbs","SEC","fbs",23,31,"59.5",NA,NA,"59.5",1748,16,20,138,2,1,37,206,2,344,1,2,23,9,3,0,0,3,35,1681.18181818182,19.3636363636364,31.3636363636364,238.727272727273,2.36363636363636,1.45454545454545,35.9090909090909,196.363636363636,1.81818181818182,435.090909090909,0.363636363636364,1.81818181818182,22.3636363636364,13,5.90909090909091,0.818181818181818,1.72727272727273,5.36363636363636,48.3636363636364,-5.5,NA,NA,-5.5,-5.5,31,1
"433",2,2023,"Grambling","LSU","Away",401520199,"SWAC","fcs","SEC","fbs",10,72,NA,NA,"61.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5,NA,20.5,NA,NA
"434",2,2023,"Hawai'i","UAlbany","Home",401532575,"Mountain West","fbs","CAA","fcs",31,20,NA,NA,"58.5",NA,3447,57,88,706,6,2,41,35,1,741,0,2,39,27,11,4,7,18,173,3447,57,88,706,6,2,41,35,1,741,0,2,39,27,11,4,7,18,173,NA,NA,-7.5,NA,-7.5,NA,NA
"435",3,2023,"Hawai'i","Oregon","Away",401524008,"Mountain West","fbs","Pac-12","fbs",10,55,"68.0",NA,"67.5",NA,1991,23,40,266,4,3,37,113,0,379,0,3,19,17,7,2,4,11,100,2719,40,64,486,5,2.5,39,74,0.5,560,0,2.5,29,22,9,3,5.5,14.5,136.5,-3,NA,-2.5,NA,-2.75,31,-7.5
"436",4,2023,"Hawai'i","New Mexico State","Home",401520253,"Mountain West","fbs","Conference USA","fbs",20,17,"55.0","57.5","54.5",NA,1823,28,44,142,1,1,19,59,0,201,0,1,15,14,2,2,3,5,27,2420.33333333333,36,57.3333333333333,371.333333333333,3.66666666666667,2,32.3333333333333,69,0.333333333333333,440.333333333333,0,2,24.3333333333333,19.3333333333333,6.66666666666667,2.66666666666667,4.66666666666667,11.3333333333333,100,-18,-20.5,-17.5,NA,-18.6666666666667,10,-2.75
"437",5,2023,"Hawai'i","UNLV","Away",401532586,"Mountain West","fbs","Mountain West","fbs",20,44,"59.0","59.5","58.5",NA,1993,26,37,245,1,0,30,98,1,343,1,1,21,15,6,1,1,4,25,2313.5,33.5,52.25,339.75,3,1.5,31.75,76.25,0.5,416,0.25,1.75,23.5,18.25,6.5,2.25,3.75,9.5,81.25,5,4.5,5.5,NA,5,20,-18.6666666666667
"438",7,2023,"Hawai'i","San Diego State","Home",401532595,"Mountain West","fbs","Mountain West","fbs",34,41,"52.0","52.5","51.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2159.8,31.2,48.8,334.4,2.8,1.4,30.6,70.2,0.4,404.6,0.4,1.8,22.8,16.8,5.4,2,3.4,8.8,78,23,22.5,23.5,NA,23,20,5
"439",8,2023,"Hawai'i","New Mexico","Away",401532600,"Mountain West","fbs","Mountain West","fbs",21,42,"59.5","60","60",NA,1432,29,48,427,3,1,14,53,1,480,3,4,19,12,6,0,1,2,11,2038.5,30.8333333333333,48.6666666666667,349.833333333333,2.83333333333333,1.33333333333333,27.8333333333333,67.3333333333333,0.5,417.166666666667,0.833333333333333,2.16666666666667,22.1666666666667,16,5.5,1.66666666666667,3,7.66666666666667,66.8333333333333,3.5,3,3,NA,3.16666666666667,34,23
"440",9,2023,"Hawai'i","San José State","Home",401532605,"Mountain West","fbs","Mountain West","fbs",0,35,"57.0","58.5","57",NA,1545,33,52,345,3,3,15,58,0,403,1,4,27,10,1,2,5,2,30,1968,31.1428571428571,49.1428571428571,349.142857142857,2.85714285714286,1.57142857142857,26,66,0.428571428571429,415.142857142857,0.857142857142857,2.42857142857143,22.8571428571429,15.1428571428571,4.85714285714286,1.71428571428571,3.28571428571429,6.85714285714286,61.5714285714286,-22,-23.5,-22,NA,-22.5,21,3.16666666666667
"441",10,2023,"Hawai'i","Nevada","Away",401532610,"Mountain West","fbs","Mountain West","fbs",27,14,"50.0","50.5",NA,"49.5",1489,20,37,146,0,2,20,52,0,198,1,3,14,15,5,2,3,5,40,1908.125,29.75,47.625,323.75,2.5,1.625,25.25,64.25,0.375,388,0.875,2.5,21.75,15.125,4.875,1.75,3.25,6.625,58.875,-9,-9.5,NA,-8.5,-9,0,-22.5
"442",11,2023,"Hawai'i","Air Force","Home",401532613,"Mountain West","fbs","Mountain West","fbs",27,13,"46.5","49.5",NA,"47.5",1997,21,38,203,2,0,35,136,1,339,1,1,16,16,5,1,1,10,92,1918,28.7777777777778,46.5555555555556,310.333333333333,2.44444444444444,1.44444444444444,26.3333333333333,72.2222222222222,0.444444444444444,382.555555555556,0.888888888888889,2.33333333333333,21.1111111111111,15.2222222222222,4.88888888888889,1.66666666666667,3,7,62.5555555555556,-6.5,-9.5,NA,-7.5,-7.83333333333333,27,-9
"443",12,2023,"Hawai'i","Wyoming","Away",401532620,"Mountain West","fbs","Mountain West","fbs",9,42,"45.0","44.5",NA,"45.5",1834,22,29,176,2,0,29,121,1,297,0,0,18,13,8,0,0,5,56,1909.6,28.1,44.8,296.9,2.4,1.3,26.6,77.1,0.5,374,0.8,2.1,20.8,15,5.2,1.5,2.7,6.8,61.9,6,6.5,NA,5.5,6,27,-7.83333333333333
"444",13,2023,"Hawai'i","Colorado State","Home",401532626,"Mountain West","fbs","Mountain West","fbs",27,24,"54.0",NA,NA,"53.5",2192,25,44,278,1,2,34,67,0,345,0,2,17,20,10,0,3,3,25,1935.27272727273,27.8181818181818,44.7272727272727,295.181818181818,2.27272727272727,1.36363636363636,27.2727272727273,76.1818181818182,0.454545454545455,371.363636363636,0.727272727272727,2.09090909090909,20.4545454545455,15.4545454545455,5.63636363636364,1.36363636363636,2.72727272727273,6.45454545454545,58.5454545454545,-3,NA,NA,-2.5,-2.75,9,6
"445",2,2023,"Holy Cross","Boston College","Away",401525490,"Patriot","fcs","ACC","fbs",28,31,NA,"52.5","52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,7,NA,6.75,NA,NA
"446",11,2023,"Holy Cross","Army","Away",401520381,"Patriot","fcs","FBS Independents","fbs",14,17,NA,NA,NA,"55.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-24.5,-24.5,28,6.75
"447",2,2023,"Houston","Rice","Away",401525831,"Big 12","fbs","American Athletic","fbs",41,43,"51.0","53","51",NA,1813,22,34,233,2,0,38,101,0,334,0,0,19,15,5,0,2,3,25,1813,22,34,233,2,0,38,101,0,334,0,0,19,15,5,0,2,3,25,33,31,33,NA,32.3333333333333,NA,NA
"448",3,2023,"Houston","TCU","Home",401525836,"Big 12","fbs","Big 12","fbs",13,36,"64.0",NA,"64",NA,1690,24,43,260,2,1,38,183,4,443,0,1,27,17,9,2,4,6,44,1751.5,23,38.5,246.5,2,0.5,38,142,2,388.5,0,0.5,23,16,7,1,3,4.5,34.5,-15,NA,-15,NA,-15,41,32.3333333333333
"449",4,2023,"Houston","Sam Houston","Home",401520254,"Big 12","fbs","Conference USA","fbs",38,7,"37.0","37.5","37",NA,1544,17,35,225,0,2,27,41,0,266,0,2,12,15,4,0,4,7,60,1682.33333333333,21,37.3333333333333,239.333333333333,1.33333333333333,1,34.3333333333333,108.333333333333,1.33333333333333,347.666666666667,0,1,19.3333333333333,15.6666666666667,6,0.666666666666667,3.33333333333333,5.33333333333333,43,8,7.5,8,NA,7.83333333333333,13,-15
"450",5,2023,"Houston","Texas Tech","Away",401525855,"Big 12","fbs","Big 12","fbs",28,49,"51.5","50.5","52",NA,2095,32,42,352,2,0,37,186,3,538,0,0,27,13,7,0,1,11,95,1785.5,23.75,38.5,267.5,1.5,0.75,35,127.75,1.75,395.25,0,0.75,21.25,15,6.25,0.5,2.75,6.75,56,25.5,26.5,25,NA,25.6666666666667,38,7.83333333333333
"451",7,2023,"Houston","West Virginia","Home",401525862,"Big 12","fbs","Big 12","fbs",41,39,"49.5","52.5","49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1850.6,24.8,39,281,2,0.6,34.8,133,1.4,414,0,0.6,22.2,15,6.8,0.4,2.4,6.2,54.2,30.5,27.5,31,NA,29.6666666666667,28,25.6666666666667
"452",8,2023,"Houston","Texas","Home",401525869,"Big 12","fbs","Big 12","fbs",24,31,"60.5","60.5","60.5",NA,1381,21,27,253,4,0,26,140,1,393,0,0,20,9,3,0,0,7,70,1772.33333333333,24.1666666666667,37,276.333333333333,2.33333333333333,0.5,33.3333333333333,134.166666666667,1.33333333333333,410.5,0,0.5,21.8333333333333,14,6.16666666666667,0.333333333333333,2,6.33333333333333,56.8333333333333,-5.5,-5.5,-5.5,NA,-5.5,41,29.6666666666667
"453",9,2023,"Houston","Kansas State","Away",401525875,"Big 12","fbs","Big 12","fbs",0,41,"60.5","58","61",NA,1682,32,46,378,3,1,19,14,0,392,1,2,20,13,4,2,3,1,15,1759.42857142857,25.2857142857143,38.2857142857143,290.857142857143,2.42857142857143,0.571428571428571,31.2857142857143,117,1.14285714285714,407.857142857143,0.142857142857143,0.714285714285714,21.5714285714286,13.8571428571429,5.85714285714286,0.571428571428571,2.14285714285714,5.57142857142857,50.8571428571429,-19.5,-17,-20,NA,-18.8333333333333,24,-5.5
